"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Swag Labs Authentication","Login","Logout","0","0","1","0","0"
"Swag Labs Checkout","Checkout Flow","Order summary","0","0","3","0","0"
"Swag Labs Shopping Cart","Cart Functionality","Remove item","0","0","4","0","0"
"Swag Labs Products","Product Page","Product detail","0","0","4","0","0"
"Swag Labs Checkout","Checkout Flow","Field validation","0","0","3","0","0"
"Swag Labs Authentication","Login","UI validation","0","0","1","0","0"
"Swag Labs Shopping Cart","Cart Functionality","Cart contents","0","0","3","0","0"
"Swag Labs Authentication","Login","Locked-out user","0","0","1","0","0"
"Swag Labs Products","Product Page","Sorting","4","0","0","0","0"
"Swag Labs Authentication","Login","Field validation","0","0","3","0","0"
"Swag Labs Shopping Cart","Cart Functionality","Add item","1","0","2","0","0"
"Swag Labs Shopping Cart","Cart Functionality","Navigation","0","0","2","0","0"
"Swag Labs Checkout","Checkout Flow","Happy path checkout","0","0","2","0","0"
"Swag Labs Checkout","Checkout Flow","Navigation","0","0","2","0","0"
"Swag Labs Authentication","Login","Valid credentials","0","0","1","0","0"
"Swag Labs Authentication","Login","Invalid credentials","0","0","2","0","0"
"Swag Labs Products","Product Page","Page load","0","0","1","0","0"
"Swag Labs Products","Product Page","Product inventory","0","0","1","0","0"
"Swag Labs Authentication","Login","Error handling","0","0","1","0","0"
