"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 30 10:55:01 UTC 2026","Mon Mar 30 10:55:02 UTC 2026","715","","com.swaglabs.smoke.LoginTest","","com.swaglabs.smoke.LoginTest","testLoginPageElementsVisible","Login page elements are all visible on load (soft assertions)",""
"passed","Mon Mar 30 10:56:22 UTC 2026","Mon Mar 30 10:56:24 UTC 2026","1982","","com.swaglabs.regression.CheckoutTest","","com.swaglabs.regression.CheckoutTest","testCheckoutTotalsCalculation","Checkout overview: subtotal + tax = total (mathematical integrity)",""
"passed","Mon Mar 30 10:56:01 UTC 2026","Mon Mar 30 10:56:04 UTC 2026","2544","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testCartItemDetails","Cart item details are correct — soft assertions on name and price",""
"passed","Mon Mar 30 10:55:00 UTC 2026","Mon Mar 30 10:55:01 UTC 2026","987","","com.swaglabs.smoke.LoginTest","","com.swaglabs.smoke.LoginTest","testLoginWithBothFieldsEmpty","Both fields empty shows 'Username is required' error",""
"passed","Mon Mar 30 10:55:43 UTC 2026","Mon Mar 30 10:55:45 UTC 2026","1386","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testAddTwoItemsToCart","Adding two items updates cart badge to 2",""
"passed","Mon Mar 30 10:56:27 UTC 2026","Mon Mar 30 10:56:29 UTC 2026","1801","","com.swaglabs.regression.CheckoutTest","","com.swaglabs.regression.CheckoutTest","testCancelCheckoutOverviewReturnsToProducts","Cancel on checkout overview returns to products page",""
"passed","Mon Mar 30 10:53:59 UTC 2026","Mon Mar 30 10:54:00 UTC 2026","1174","","com.swaglabs.smoke.ProductPageTest","","com.swaglabs.smoke.ProductPageTest","testProductCount","All 6 products are displayed",""
"passed","Mon Mar 30 10:56:20 UTC 2026","Mon Mar 30 10:56:22 UTC 2026","1856","","com.swaglabs.regression.CheckoutTest","","com.swaglabs.regression.CheckoutTest","testCheckoutOverviewItemCount","Checkout overview shows correct item(s) count",""
"passed","Mon Mar 30 10:54:45 UTC 2026","Mon Mar 30 10:54:47 UTC 2026","1280","","com.swaglabs.smoke.ProductPageTest","","com.swaglabs.smoke.ProductPageTest","testNavigateToProductDetail","Clicking a product name opens its detail page",""
"passed","Mon Mar 30 10:56:11 UTC 2026","Mon Mar 30 10:56:13 UTC 2026","2158","","com.swaglabs.regression.CheckoutTest","","com.swaglabs.regression.CheckoutTest","testCompleteCheckoutFlow","Full checkout flow completes successfully and shows thank-you page",""
"passed","Mon Mar 30 10:55:57 UTC 2026","Mon Mar 30 10:55:58 UTC 2026","1415","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testRemoveItemFromProductsPage","Removing an item from products page decrements the badge",""
"passed","Mon Mar 30 10:54:59 UTC 2026","Mon Mar 30 10:55:00 UTC 2026","1038","","com.swaglabs.smoke.LoginTest","","com.swaglabs.smoke.LoginTest","testLoginWithEmptyPassword","Empty password field shows 'Password is required' error",""
"passed","Mon Mar 30 10:54:53 UTC 2026","Mon Mar 30 10:54:55 UTC 2026","1541","","com.swaglabs.smoke.LoginTest","","com.swaglabs.smoke.LoginTest","testLogout","User can logout and return to login page",""
"passed","Mon Mar 30 10:54:58 UTC 2026","Mon Mar 30 10:54:59 UTC 2026","1011","","com.swaglabs.smoke.LoginTest","","com.swaglabs.smoke.LoginTest","testLoginWithEmptyUsername","Empty username field shows 'Username is required' error",""
"passed","Mon Mar 30 10:55:58 UTC 2026","Mon Mar 30 10:55:59 UTC 2026","1369","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testRemoveOnlyItemHidesBadge","Removing the only item hides the cart badge",""
"failed","Mon Mar 30 10:54:00 UTC 2026","Mon Mar 30 10:54:11 UTC 2026","11507","","com.swaglabs.smoke.ProductPageTest","","com.swaglabs.smoke.ProductPageTest","testSortAZ","Sort A-Z shows 'Sauce Labs Backpack' first",""
"failed","Mon Mar 30 10:54:11 UTC 2026","Mon Mar 30 10:54:23 UTC 2026","11378","","com.swaglabs.smoke.ProductPageTest","","com.swaglabs.smoke.ProductPageTest","testSortZA","Sort Z-A shows 'Test.allTheThings() T-Shirt (Red)' first",""
"passed","Mon Mar 30 10:56:09 UTC 2026","Mon Mar 30 10:56:11 UTC 2026","1405","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testCartRetainsItemsAfterNavigation","Cart retains items after navigating to products and back",""
"passed","Mon Mar 30 10:54:52 UTC 2026","Mon Mar 30 10:54:53 UTC 2026","1157","","com.swaglabs.smoke.LoginTest","","com.swaglabs.smoke.LoginTest","testSuccessfulLogin","Successful login with standard_user",""
"passed","Mon Mar 30 10:56:08 UTC 2026","Mon Mar 30 10:56:09 UTC 2026","1361","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testContinueShopping","'Continue Shopping' button returns to products page",""
"failed","Mon Mar 30 10:54:23 UTC 2026","Mon Mar 30 10:54:34 UTC 2026","11412","","com.swaglabs.smoke.ProductPageTest","","com.swaglabs.smoke.ProductPageTest","testSortPriceLowToHigh","Sort price low-to-high — cheapest product appears first",""
"passed","Mon Mar 30 10:56:04 UTC 2026","Mon Mar 30 10:56:05 UTC 2026","1398","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testCartItemQuantity","All cart items have quantity 1 by default",""
"passed","Mon Mar 30 10:56:13 UTC 2026","Mon Mar 30 10:56:15 UTC 2026","1884","","com.swaglabs.regression.CheckoutTest","","com.swaglabs.regression.CheckoutTest","testBackHomeAfterCheckout","After checkout completion, 'Back Home' returns to Products page",""
"failed","Mon Mar 30 10:54:34 UTC 2026","Mon Mar 30 10:54:45 UTC 2026","11375","","com.swaglabs.smoke.ProductPageTest","","com.swaglabs.smoke.ProductPageTest","testSortPriceHighToLow","Sort price high-to-low — most expensive product appears first",""
"passed","Mon Mar 30 10:56:25 UTC 2026","Mon Mar 30 10:56:27 UTC 2026","1572","","com.swaglabs.regression.CheckoutTest","","com.swaglabs.regression.CheckoutTest","testCancelCheckoutStep1ReturnsToCart","Cancel on checkout step 1 returns to cart with items intact",""
"passed","Mon Mar 30 10:56:16 UTC 2026","Mon Mar 30 10:56:18 UTC 2026","1722","","com.swaglabs.regression.CheckoutTest","","com.swaglabs.regression.CheckoutTest","testCheckoutMissingLastName","Missing last name shows 'Last Name is required' error",""
"passed","Mon Mar 30 10:56:07 UTC 2026","Mon Mar 30 10:56:08 UTC 2026","1481","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testRemoveAllItemsFromCart","Removing all items results in an empty cart",""
"passed","Mon Mar 30 10:54:55 UTC 2026","Mon Mar 30 10:54:56 UTC 2026","1089","","com.swaglabs.smoke.LoginTest","","com.swaglabs.smoke.LoginTest","testLockedOutUser","Locked-out user sees appropriate error message",""
"failed","Mon Mar 30 10:55:45 UTC 2026","Mon Mar 30 10:55:57 UTC 2026","11895","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testAddAllProductsToCart","Adding all 6 products updates badge to 6",""
"passed","Mon Mar 30 10:54:47 UTC 2026","Mon Mar 30 10:54:49 UTC 2026","2416","","com.swaglabs.smoke.ProductPageTest","","com.swaglabs.smoke.ProductPageTest","testProductDetailIntegrity","Product detail page shows name, description, price and image (soft assertions)",""
"passed","Mon Mar 30 10:56:15 UTC 2026","Mon Mar 30 10:56:16 UTC 2026","1627","","com.swaglabs.regression.CheckoutTest","","com.swaglabs.regression.CheckoutTest","testCheckoutMissingFirstName","Missing first name shows 'First Name is required' error",""
"passed","Mon Mar 30 10:53:50 UTC 2026","Mon Mar 30 10:53:58 UTC 2026","8820","","com.swaglabs.smoke.ProductPageTest","","com.swaglabs.smoke.ProductPageTest","testProductsPageLoads","Products page loads with correct title",""
"passed","Mon Mar 30 10:54:57 UTC 2026","Mon Mar 30 10:54:58 UTC 2026","1083","","com.swaglabs.smoke.LoginTest","","com.swaglabs.smoke.LoginTest","testLoginWithInvalidPassword","Invalid password shows credential mismatch error",""
"passed","Mon Mar 30 10:54:49 UTC 2026","Mon Mar 30 10:54:50 UTC 2026","1319","","com.swaglabs.smoke.ProductPageTest","","com.swaglabs.smoke.ProductPageTest","testBackButtonFromDetailPage","Back button on detail page returns to products list",""
"passed","Mon Mar 30 10:56:18 UTC 2026","Mon Mar 30 10:56:20 UTC 2026","1655","","com.swaglabs.regression.CheckoutTest","","com.swaglabs.regression.CheckoutTest","testCheckoutMissingPostalCode","Missing postal code shows 'Postal Code is required' error",""
"passed","Mon Mar 30 10:54:50 UTC 2026","Mon Mar 30 10:54:52 UTC 2026","1427","","com.swaglabs.smoke.ProductPageTest","","com.swaglabs.smoke.ProductPageTest","testAddToCartFromDetailPage","Adding item on detail page updates cart badge to 1",""
"passed","Mon Mar 30 10:55:36 UTC 2026","Mon Mar 30 10:55:43 UTC 2026","7534","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testAddSingleItemToCart","Adding one item updates cart badge to 1",""
"passed","Mon Mar 30 10:55:59 UTC 2026","Mon Mar 30 10:56:01 UTC 2026","1595","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testCartShowsCorrectItems","Cart page shows the correct item(s) added from inventory",""
"passed","Mon Mar 30 10:54:56 UTC 2026","Mon Mar 30 10:54:57 UTC 2026","1088","","com.swaglabs.smoke.LoginTest","","com.swaglabs.smoke.LoginTest","testLoginWithInvalidUsername","Invalid username shows credential mismatch error",""
"passed","Mon Mar 30 10:55:02 UTC 2026","Mon Mar 30 10:55:03 UTC 2026","1147","","com.swaglabs.smoke.LoginTest","","com.swaglabs.smoke.LoginTest","testErrorMessageCanBeDismissed","Error message can be dismissed with the X button",""
"passed","Mon Mar 30 10:56:05 UTC 2026","Mon Mar 30 10:56:07 UTC 2026","1477","","com.swaglabs.regression.CartTest","","com.swaglabs.regression.CartTest","testRemoveItemFromCartPage","Removing an item from the cart page removes it from the list",""
"passed","Mon Mar 30 10:56:24 UTC 2026","Mon Mar 30 10:56:25 UTC 2026","1733","","com.swaglabs.regression.CheckoutTest","","com.swaglabs.regression.CheckoutTest","testCheckoutSummaryFormat","Checkout overview summary labels display dollar amounts",""
